10,10,10,10,DeltamapZ,DeltamapZ,DeltamapZ,DeltamapZ,cMapZ,cMapZ,cMapZ,cMapZ
Experiment_1,Experiment_2,Experiment_3,Experiment_4,Experiment_1,Experiment_2,Experiment_3,Experiment_4,Experiment_1,Experiment_2,Experiment_3,Experiment_4
0.51718314,0.56125714,0.48929692,0.53968662,0.75680335,0.77355366,0.41366695,0.57551343,0.59902165,0.60709121,0.57137379,0.52026657
0.53181515,0.55274151,0.46422392,0.56718363,0.66579602,0.54153207,0.45208399,0.80144757,0.63371618,0.68285333,0.59053429,0.62003208
0.60540548,0.59197535,0.50172645,0.46337636,0.48648429,0.7901917,0.53910666,0.77112242,0.41135126,0.49683705,0.55650005,0.58081417
0.51211344,0.57178398,0.48018035,0.54355233,0.59444303,0.75566671,0.48958163,0.83911885,0.51439364,0.59495554,0.60686018,0.54094073
0.51921769,0.56092281,0.47283673,0.62487782,0.49811986,0.70850321,0.58613027,0.95063163,0.49394094,0.62632523,0.58220945,0.57652253
0.57115228,0.57177024,0.48139519,0.54735661,0.56488367,0.7967171,0.42416413,0.66061888,0.45196976,0.52718926,0.41118492,0.61586237
0.46445237,0.61580988,0.51637629,0.48262356,0.50853262,0.65561296,0.51820638,0.63047905,0.51765036,0.5190645,0.46758295,0.74817356
0.49173275,0.57743026,0.46529721,0.54739142,0.65598964,0.59413505,0.50067681,0.42415444,0.47513985,0.55445912,0.51634162,0.61807671
0.54691207,0.53522604,0.47086555,0.64955934,0.67411139,0.57555875,0.48723668,0.47365723,0.48881776,0.52231884,0.41584256,0.57653465
0.59164534,0.56901566,0.47182337,0.52854371,0.48907227,0.7879591,0.61485453,0.43528568,0.48155797,0.70811036,0.54681263,0.58299275
0.5010124,0.52655642,0.63133454,0.53580897,0.58297647,0.39150969,0.47563909,0.43958788,0.48257583,0.58295553,0.48648727,0.57057166
0.55826315,0.59985399,0.46879031,0.52588629,0.5391788,0.48546378,0.48509693,0.44588017,0.49202145,0.62437753,0.57099396,0.54421702
0.48062329,0.53085644,0.49628717,0.61435125,0.5999469,0.45089744,0.47841271,0.45164529,0.50978798,0.58598859,0.54753389,0.57278757
0.52386046,0.54945787,0.46628329,0.54996272,0.57230675,0.53163115,0.58205271,0.57407075,0.52578263,0.55088338,0.49696962,0.52788091
0.53106165,0.57546889,0.53316458,0.56648258,0.56826957,0.44832488,0.55412889,0.53752984,0.51511368,0.59336672,0.5054472,0.52060738
0.57272344,0.69006184,0.48792757,0.55177263,0.59009464,0.53424522,0.56106388,0.42324762,0.61094083,0.63338593,0.54677745,0.60256706
0.54355076,0.55605171,0.48443862,0.56220665,0.88615141,0.45920012,0.88610274,0.48705001,0.54382847,0.68268526,0.52677494,0.5977353
0.54695884,0.56072527,0.45146655,0.56147753,0.53306649,0.492104,0.52933808,0.41552488,0.4932586,0.65026493,0.47427846,0.5562367
0.54078125,0.60078607,0.47644906,0.54585474,0.72170927,0.48750486,0.88186,0.68612686,0.50338756,0.5941654,0.5201435,0.58205801
0.56296924,0.58185366,0.56980447,0.54136136,0.63333545,0.70191415,0.54070613,0.58387262,0.49368252,0.61349359,0.49239487,0.54381236
0.59284149,0.59431269,0.49618221,0.53903525,0.91860193,0.47990035,0.55985324,0.48441358,0.55206491,0.55568391,0.55584593,0.6046562
0.51870694,0.59250603,0.51094042,0.54743579,0.61565499,0.43642335,0.59106456,0.56499383,0.53562816,0.57182105,0.50527141,0.45931398
0.51425721,0.58112934,0.5045569,0.55054772,0.5587186,0.53310196,0.50870881,0.5428461,0.53704723,0.62884074,0.57070947,0.49467882
0.53851763,0.58078115,0.48872553,0.58006855,0.58515687,0.52913858,0.50865428,0.60009164,0.50696394,0.5219757,0.53838082,0.4692094
0.57734538,0.44774428,0.54812525,0.71020807,0.62330533,0.60729414,0.47626548,0.45200017,0.49232559,0.51760973,0.53359919,0.46765888
0.55380964,0.45347191,0.50356444,0.6789916,0.59640128,0.52965615,0.58224749,0.44593734,0.51267493,0.56401317,0.51966633,0.48192915
0.51588632,0.45037845,0.49766444,0.52390935,0.66961876,0.48432913,0.52263749,0.4833453,0.49196521,0.52173543,0.5431679,0.51391248
0.57907603,0.46868351,0.53535582,0.53934965,0.7274917,0.57073123,0.55431314,0.59407066,0.52180135,0.58519592,0.49068398,0.54456984
0.61432951,0.48008588,0.49931168,0.52787057,0.64197463,0.56500806,0.59909847,0.52631736,0.51525358,0.53504428,0.55461987,0.49106384
0.58605835,0.50562786,0.46364038,0.53728303,0.64399097,0.52345858,0.71927644,0.45355944,0.49803786,0.54088176,0.51325916,0.53103482
0.60585057,0.4926824,0.51516343,0.74639577,0.68238051,0.67269299,0.58469669,0.57410536,0.53050595,0.51562927,0.57670734,0.4683878
0.67806609,0.50895066,0.47377775,0.76764045,0.73856365,0.50082652,0.54548339,0.50552699,0.53042861,0.54307857,0.55605906,0.47238966
0.57323818,0.53061369,0.51549186,0.55042142,0.75044306,0.50605716,0.51896074,0.54062478,0.61826799,0.52187382,0.58981789,0.49554615
0.54968893,0.54764534,0.49472935,0.5510103,0.6270684,0.6858518,0.55024094,0.687979,0.60635858,0.5948953,0.52082318,0.46243719
0.54997103,0.5611658,0.53142273,0.61625909,0.57179885,0.6181653,0.61572785,0.49894656,0.62761692,0.5239577,0.55875397,0.50723772
0.60648891,0.58981532,0.46527398,0.760439,0.43294542,0.56946058,0.69577551,0.61589881,0.59033585,0.55861955,0.62974887,0.48561903
0.5350628,1.00200094,0.53315963,0.61204752,0.45484645,0.56760944,0.74215298,0.47671095,0.46165647,0.56817875,0.43750644,0.49050457
0.40383388,0.50089742,0.60940747,0.65521249,0.48539698,0.60248909,0.49687771,0.61395598,0.44234795,0.58095785,0.5457288,0.49766444
0.44164784,0.49512935,0.48876995,0.70094972,0.43122667,0.57761187,0.76450372,0.48985195,0.49878136,0.57184186,0.41308945,0.50437805
0.48482328,0.54267258,0.51682266,0.39578513,0.4620396,0.68801443,0.63255828,0.58053365,0.49253155,0.51834333,0.45863982,0.5247202
0.49975858,0.50823436,0.68018139,0.417599,0.47110556,0.56001795,0.81668848,0.49215715,0.49816876,0.56561328,0.53636294,0.57566718
0.53373921,0.58332056,0.60452209,0.43384887,0.49907363,0.83406103,0.69404379,0.53635399,0.45258779,0.56468427,0.48267065,0.51921168
0.48384116,0.54324069,0.52093315,0.45179828,0.47127759,0.5902763,0.57951196,0.52564581,0.4644563,0.59035955,0.53787344,0.43784595
0.50110318,0.59429285,0.49127485,0.43171666,0.49554426,0.68600661,0.68222844,0.63321954,0.46476621,0.54671164,0.48689596,0.6033808
0.55568812,0.56332027,0.50011149,0.47102679,0.49801426,0.53673945,0.54271136,0.60337001,0.47459789,0.65998958,0.49366018,0.56556714
0.51157622,0.49739469,0.548803,0.44166932,0.61743356,0.55609063,0.57714419,0.8215484,0.46074562,0.54267333,0.49836289,0.51872143
0.55173255,0.56202719,0.50394261,0.50821785,0.50699873,0.68005358,0.8968224,0.48077942,0.49349006,0.54100361,0.54343439,0.52865363
0.49929742,0.49808836,0.47890655,0.48729536,0.52098564,0.77866459,0.53934975,0.49583051,0.53529125,0.54977093,0.54221601,0.48298166
0.50964366,0.49660326,0.51737025,0.46148071,0.52757078,0.60907815,0.54004357,0.65886943,0.50675056,0.62987481,0.51662317,0.54775198
0.49778869,0.5398004,0.49378491,0.50916129,0.54365612,1.06416706,0.55726406,0.55754714,0.46160974,0.63804095,0.55186746,0.53474504
0.5359179,0.55653896,0.50142546,0.4226234,0.5077781,0.62803542,0.72013414,0.53266453,0.49035171,0.56542069,0.52181145,0.54092876
0.4872774,0.51437424,0.55606073,0.46773119,0.54747147,0.84967837,0.63904197,0.50504709,0.46433447,0.54871059,0.47302263,0.53006246
0.55406894,0.56399022,0.53297248,0.50028056,0.56164913,0.74532411,0.51207086,0.57211023,0.48656154,0.52771398,0.51296639,0.53957315
0.47953171,0.59888961,0.49474571,0.45243953,0.48729885,0.83011554,0.55912089,0.48866688,0.48117248,0.58897831,0.55181861,0.54600413
0.61733799,0.52180477,0.64484167,0.4828816,0.56365796,0.68894857,0.64076628,0.90658771,0.50804064,0.55346286,0.53527603,0.50424167
0.55599439,0.57311327,0.49435191,0.46277487,0.5606275,0.82635489,0.53183756,0.60386962,0.5371402,0.54014026,0.49442675,0.56219409
0.53456115,0.54059032,0.5140637,0.45288137,0.58996644,0.56097283,0.60355123,0.53406304,0.49322667,0.61337177,0.56501892,0.69808089
0.55382042,0.51319767,0.5504314,0.46442907,0.60339455,0.79432811,0.68950653,0.75169426,0.49920823,0.58776576,0.53568275,0.60805135
0.51513971,0.62667431,0.50776318,0.4511042,0.61862626,0.66544905,0.95113557,0.4901218,0.53268408,0.61837036,0.48779112,0.54380605
0.51489193,0.53199007,0.47585315,0.46045463,0.66438842,0.49026724,0.56347279,0.49679937,0.49973837,0.54381448,0.66072713,0.54119384
0.52265963,0.51970078,0.5146629,0.54321545,0.68699309,0.49335102,0.82220907,0.50952683,0.51439223,0.41125227,0.56944137,0.54743029
0.53635936,0.5737608,0.51303274,0.4489584,0.62872939,0.63582613,0.96044468,0.65689877,0.48776124,0.52515392,0.59312148,0.68843756
0.5433431,0.61116729,0.50973423,0.48166476,0.55733642,0.6736642,0.56188525,0.51235849,0.49029482,0.5351992,0.5682496,0.58757277
0.58300362,0.53123014,0.48505394,0.48351265,0.6413562,0.57512278,0.78654381,0.61390782,0.5092406,0.48542999,0.52834775,0.63131677
0.56173073,0.57757561,0.51918395,0.48616161,0.91828977,0.63385894,0.61118818,0.53173703,0.54703891,0.47152607,0.56289224,0.54449908
0.54572831,0.60591107,0.54004872,0.46364655,0.61646515,0.53659221,0.53945486,0.7861504,0.53297941,0.51467425,0.5053043,0.56895996
0.55632567,0.58564166,0.5247202,0.4745317,0.6139207,0.81327077,0.86825042,0.63925009,0.72840732,0.53313812,0.56089457,0.56269563
0.59957614,0.60861336,0.52171835,0.60915922,0.76112689,0.66671339,0.5305474,0.47912317,0.61453436,0.55641625,0.57489952,0.57811339
0.53770922,0.55205058,0.48978674,0.49289721,0.61939591,0.52228535,0.76307881,0.62001448,0.56107766,0.66247688,0.57344748,0.63223811
0.55969265,0.64327377,0.48868831,0.49253358,0.58449565,0.5926372,0.71056142,0.60782375,0.55552505,0.52767571,0.52989427,0.61664508
0.56490432,0.56263471,0.51970686,0.52584852,0.71169074,0.68680214,0.68487752,0.55215764,0.53209355,0.56196573,0.4824306,0.57868314
0.53644353,0.51896064,0.48512444,0.48810998,0.55291538,0.85314403,0.7138171,0.5169892,0.58915016,0.51312969,0.49290489,0.58589426
0.53905046,0.54279499,0.52582762,0.51756575,1.03656658,0.62930405,0.8087033,0.58530122,0.51095458,0.57994316,0.48591544,0.6371175
0.62929229,0.61680843,0.54181904,0.47186137,0.73956637,0.73360308,0.77972521,0.53813216,0.54154046,0.53789875,0.49639082,0.6863094
0.52444814,0.56661557,0.47644714,0.50147623,0.50621375,0.93689545,0.5852992,0.76187736,0.61175239,0.55016673,0.47797745,0.53306094
0.52073672,0.53416612,0.53095052,0.52652763,0.47949075,0.58705862,0.73645629,0.74454573,0.55871106,0.51340174,0.79240542,0.66402267
0.47624822,0.52026389,0.50155467,0.51986643,0.5616529,0.56378749,0.76188932,0.65644653,0.55918943,0.56759297,0.48580945,0.69630511
0.49322431,0.61986501,0.52208869,0.55449893,0.60680107,0.61454371,0.65444485,0.57207738,0.56935442,0.52679374,0.703352,0.63356861
0.48512468,0.58083092,0.52229038,0.49878581,0.54363894,0.73045107,0.71127523,0.6829965,0.56708082,0.49330688,0.53930819,0.6367228
0.48341966,0.59535299,0.53752371,0.51149068,0.53591663,0.70244317,0.91987111,0.73758472,0.52997359,0.57364883,0.52456924,0.44624007
