10,10,10,10,DeltamapZ,DeltamapZ,DeltamapZ,DeltamapZ,cMapZ,cMapZ,cMapZ,cMapZ
Experiment_1,Experiment_2,Experiment_3,Experiment_4,Experiment_1,Experiment_2,Experiment_3,Experiment_4,Experiment_1,Experiment_2,Experiment_3,Experiment_4
1.03466727,0.59344878,0.52369349,0.49580383,0.50499514,1.09463635,0.52401845,0.5857935,0.58633362,0.48648947,0.72094641,0.58790474
0.68649911,0.64075486,0.47106426,0.55094356,0.59947565,0.70689839,0.5996372,0.68762971,0.53074661,0.56134256,0.67382747,0.6188457
0.56437882,1.21892793,0.53662876,0.53819149,0.67047969,0.86065134,0.62557443,0.92054457,0.57571926,0.61028093,1.02386938,0.5444569
0.87499227,1.09591496,0.48360471,0.72830276,0.75671195,0.79904264,0.58277622,1.0402262,0.53206568,0.58557707,0.76604919,0.63150216
1.06705928,0.70678875,0.51529844,0.79995054,0.88383888,0.78736233,0.56690206,0.57667773,0.64701565,0.80358398,0.61168267,0.99924164
0.65848522,0.53511755,0.67608252,0.51640228,0.61990822,0.72158828,0.58124054,0.82431198,0.58402613,0.6573618,1.39987505,0.70417716
1.15415325,0.53041301,1.24412921,0.91806348,0.75445632,0.88090261,0.67492971,0.74060608,1.0947491,0.62654351,0.69930627,0.81573731
0.67489513,0.60599716,0.52701655,1.06336084,0.73442731,0.74995344,0.64952588,0.75335527,0.715,0.90428232,0.70529197,1.31056237
1.60592081,0.66827701,0.5406637,0.52561337,0.65916253,0.93074422,1.00268129,0.55947494,0.65530233,0.73610569,0.75813444,0.72008474
0.98628703,0.67459687,0.77247207,0.56437882,0.64451399,1.12660132,0.77313593,1.01310571,0.60703145,0.91519101,0.73014888,0.77434993
1.00030383,0.93754525,1.25251503,0.54391008,0.67533265,1.30315696,0.74185345,0.64854886,1.01840911,0.66210115,0.70484427,0.79943537
1.66360881,1.09543083,0.62912882,0.74300215,0.64911886,0.75856464,1.07307706,0.76248829,0.70510373,0.84303945,1.08643619,1.30750428
1.21565792,1.06401212,0.5089758,1.01693596,1.10777131,1.59262882,0.74084439,0.62798233,1.30841568,0.89550474,1.24341275,1.04195208
